, ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,,1,2,3,4,5,6
,$,,Jul//18,Aug//18,Sep//18,Oct//18,Nov//18,Dec//18,Jan//19,Feb//19,Mar//19,Apr//19,May//19,Jun//19,Jul//19,Aug//19,Sep//19,Oct//19,Nov//19,Dec//19,Jan//20,Feb//20,Mar//20,Apr//20,May//20,Jun//20,Jul//20,Aug//20,Sep//20,Oct//20,Nov//20,Dec//20,Jan//21,Feb//21,Mar//21,Apr//21,May//21,Jun//21,Jul//21,Aug//21,Sep//21,Oct//21,Nov//21,Dec//21,Jan//22,Feb//22,Mar//22,Apr//22,May//22,Jun//22,Jul//22,Aug//22,Sep//22,Oct//22,Nov//22,Dec//22,Jan//23,Feb//23,Mar//23,Apr//23,May//23,Jun//23,Jul//23,Aug//23,Sep//23,Oct//23,Nov//23,Dec//23,Jan//24,Feb//24,Mar//24,Apr//24,May//24,Jun//24,Jul//24,Aug//24,Sep//24,Oct//24,Nov//24,Dec//24,Jan//25,Feb//25,Mar//25,Apr//25,May//25,Jun//25,Jul//25,,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,line of credit,"2,360","1,809","2,945",43,"2,259","2,152",555,"3,697","2,274",167,(76),"4,439","4,146","3,301","3,604","2,341","3,024","5,024","4,660","9,251","1,993","3,079","2,842","2,254","3,508","3,432","5,678","2,427","5,026","7,201","1,915","2,549","4,857","3,355",(840),544,"2,044","2,044",(143),902,"1,306","5,300","(1,663)","2,471","5,501","1,959","5,009","1,586","2,138","8,721","10,612","2,766","4,292","13,358","1,024","2,466",464,"(2,577)","3,076","1,514",(21),"5,269","(4,715)","(4,715)","(1,815)","9,266","12,360","2,672","3,171","1,040","(1,492)","3,448","(14,532)","2,005","3,752","6,569",(237),"2,151","1,633","3,526","5,135","5,202",367,"3,033","3,033",,"2,152","7,201","5,300","13,358","9,266","2,151"
2,,Savings account,450,393,394,827,"2,002","4,945",-,"2,850",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"4,945",-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank accounts,,"2,810","2,202","3,339",870,"4,261","7,097",555,"6,547","2,274",167,(76),"4,439","4,146","3,301","3,604","2,341","3,024","5,024","4,660","9,251","1,993","3,079","2,842","2,254","3,508","3,432","5,678","2,427","5,026","7,201","1,915","2,549","4,857","3,355",(840),544,"2,044","2,044",(143),902,"1,306","5,300","(1,663)","2,471","5,501","1,959","5,009","1,586","2,138","8,721","10,612","2,766","4,292","13,358","1,024","2,466",464,"(2,577)","3,076","1,514",(21),"5,269","(4,715)","(4,715)","(1,815)","9,266","12,360","2,672","3,171","1,040","(1,492)","3,448","(14,532)","2,005","3,752","6,569",(237),"2,151","1,633","3,526","5,135","5,202",367,"3,033","3,033",,"7,097","7,201","5,300","13,358","9,266","2,151"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Margin (U2672141),-,-,-,"4,133","6,036","5,601","8,601","9,776","14,895","18,599","15,678","15,899","16,841","17,757","17,786","18,383","19,835","20,337","13,955","13,653","21,393","22,582","19,792","19,118","19,286","16,986","17,785","17,771","19,414","20,073","18,730","16,320","17,914","23,889","26,890","26,510","27,580","30,990","28,366","31,780","55,900","25,821","30,533","26,910","28,639","29,715","24,315","20,772","24,151","23,864","21,660","21,660","31,960","29,929","33,204","33,465","37,050","37,120","37,680","38,406","37,260","37,500","35,341","35,341","40,260","25,816","25,520","26,370","26,090","25,438","23,020","25,483","26,397","25,169","25,637","25,637","27,297","12,803","11,400","11,973","21,077","21,360","20,413","20,746","20,746",,"5,601","20,073","25,821","29,929","25,816","12,803"
2,,TFSA (U1558417),"52,851","59,522","59,782","53,726","49,173","44,049","53,370","58,073","60,327","60,926","59,180","59,682","58,917","57,605","58,085","60,138","64,763","64,538","74,683","71,010","71,317","75,953","76,119","76,172","75,990","75,554","77,458","74,502","79,135","85,467","97,320","96,933","92,200","98,333","90,203","103,100","104,300","109,600","103,529","113,500","122,900","101,832","123,735","100,700","108,586","89,880","78,585","71,645","80,339","78,221","71,660","70,318","74,880","69,578","80,602","80,966","89,153","89,940","98,350","99,357","98,850","99,070","93,666","93,666","100,500","95,612","107,113","120,700","118,400","120,623","135,123","149,880","143,063","141,661","145,614","145,614","155,748","156,267","154,679","146,121","133,049","137,785","157,005","175,139","175,139",,"44,049","85,467","101,832","69,578","95,612","156,267"
3,,RRSP (U2287758),"10,305","10,424","14,029","13,884","14,591","13,899","16,554","16,580","17,314","17,734","16,233","17,028","17,755","16,776","17,821","18,305","18,688","18,936","19,372","18,266","17,697","18,422","18,876","18,512","18,150","18,502","18,396","17,957","23,591","23,346","29,950","27,757","26,140","29,012","23,800","32,240","33,360","35,800","36,889","47,360","32,580","44,821","50,934","45,220","55,536","39,022","39,863","39,601","40,893","39,643","37,800","31,937","36,380","32,235","48,406","51,776","67,855","65,470","77,670","82,647","86,044","84,260","81,261","81,261","84,680","100,034","96,420","111,800","111,700","107,387","116,836","125,983","121,740","112,129","115,299","115,299","129,214","127,701","128,171","125,232","114,023","112,020","121,150","132,626","132,626",,"13,899","23,346","44,821","32,235","100,034","127,701"
4,IKBR,,"63,156","69,946","73,811","71,743","69,800","63,549","78,525","84,429","92,536","97,259","91,091","92,609","93,513","92,138","93,692","96,826","103,286","103,811","108,010","102,929","110,407","116,957","114,787","113,802","113,426","111,042","113,639","110,230","122,140","128,886","146,000","141,010","136,254","151,234","140,893","161,850","165,240","176,390","168,784","192,640","211,380","172,474","205,202","172,830","192,761","158,617","142,763","132,018","145,383","141,728","131,120","123,915","143,220","131,742","162,212","166,207","194,058","192,530","213,700","220,410","222,154","220,830","210,268","210,268","225,440","221,462","229,053","258,870","256,190","253,448","274,979","301,346","291,200","278,959","286,550","286,550","312,259","296,771","294,250","283,326","268,149","271,165","298,568","328,511","346,458",,"63,549","128,886","172,474","131,742","221,462","296,771"
5,,Phantom Wallet,"20,996","23,960","16,238","23,238","14,612","14,668","12,182","13,982","15,054","18,848","30,609","42,041","27,463","26,361","17,390","19,679","20,525","20,240","25,822","25,006","19,714","26,010","27,812","26,245","32,761","33,544","31,227","37,781","50,493","77,788","102,858","118,804","157,937","153,679","102,987","101,598","114,425","143,820","143,985","187,575","184,795","160,100","94,163","90,551","103,809","89,489","59,363","67,355","81,028","73,129","70,531","73,063","59,859","57,683","79,159","80,665","96,209","101,359","95,800","99,156","93,552","87,910","90,535","90,535","138,600","131,914","134,402","193,634","217,497","190,330","29,199","26,320","24,266","19,187","19,913","20,405","55,290","85,009","223,751","148,678","124,987","119,311","148,273","120,213","158,493",,"14,668","77,788","160,100","57,683","131,914","85,009"
6,,Blue Wallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"186,328","168,785","178,634","158,549","171,755","200,520","270,434","242,182","119,816","97,074","96,465","103,828","113,212","112,701","129,084",,,,,,,"242,182"
7,Cryptocurrency,,"20,996","23,960","16,238","23,238","14,612","14,668","12,182","13,982","15,054","18,848","30,609","42,041","27,463","26,361","17,390","19,679","20,525","20,240","25,822","25,006","19,714","26,010","27,812","26,245","32,761","33,544","31,227","37,781","50,493","77,788","102,858","118,804","157,937","153,679","102,987","101,598","114,425","143,820","143,985","187,575","184,795","160,100","94,163","90,551","103,809","89,489","59,363","67,355","81,028","73,129","70,531","73,063","59,859","57,683","79,159","80,665","96,209","101,359","95,800","99,156","93,552","87,910","90,535","90,535","138,600","131,914","134,402","193,634","217,497","190,330","215,527","195,105","202,900","177,736","191,668","220,925","325,724","327,191","343,567","245,752","221,452","223,139","261,485","232,914","287,577",,"14,668","77,788","160,100","57,683","131,914","327,191"
8,Manulife RPP,,-,-,-,-,-,-,-,-,-,-,-,-,303,303,629,953,"1,643","1,671","2,350","2,161","2,300","2,839","3,120","3,134","3,272","3,451","3,362","3,330","3,896","4,580","4,665","5,276","5,483","6,002","6,284","6,995","7,649","7,649","8,774","9,121","10,006","10,865","11,863","11,354","12,164","11,666","12,162","12,253","13,203","13,518","13,887","14,782","15,470","16,648","17,315","17,771","19,358","19,605","20,480","21,397","23,023","23,538","23,538","23,538","26,088","27,777","30,060","31,027","33,255","33,250","34,864","36,407","36,407","37,742","39,927","41,761","44,765","47,050","48,478","48,461","46,561","44,380","48,169","50,224","51,431",,-,"4,580","10,865","16,648","27,777","47,050"
9,Wealthsimple FHSA,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000","4,000","4,071","4,139","16,255","16,854","17,591","17,899","17,712","18,251","19,000","19,921","19,873","20,862","21,180","19,867","19,867","18,825","18,825","18,825",,-,-,-,-,"1,000","19,873"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - investment accounts,,"84,152","93,906","90,049","94,981","84,412","78,217","90,707","98,411","107,590","116,107","121,700","134,650","121,279","118,802","111,711","117,458","125,454","125,722","136,182","130,096","132,421","145,806","145,719","143,181","149,459","148,037","148,228","151,341","176,529","211,254","253,523","265,090","299,674","310,915","250,164","270,443","287,314","327,859","321,543","389,336","406,181","343,439","311,228","274,735","308,734","259,772","214,288","211,626","239,614","228,375","215,538","211,760","218,549","206,073","258,686","264,643","309,625","313,494","329,980","340,963","338,729","332,278","324,341","324,341","390,128","382,153","397,515","487,602","511,081","493,283","542,224","550,449","548,406","512,149","536,396","568,236","702,669","690,885","707,157","598,719","556,029","558,551","627,047","630,474","704,291",,"78,217","211,254","343,439","206,073","382,153","690,885"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - other assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - debt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Assets,,"86,962","96,108","93,388","95,851","88,673","85,314","91,262","104,958","109,864","116,274","121,624","139,089","125,425","122,103","115,315","119,799","128,478","130,746","140,842","139,347","134,414","148,885","148,561","145,435","152,967","151,469","153,906","153,768","181,555","218,455","255,438","267,639","304,531","314,270","249,324","270,987","289,358","329,903","321,400","390,238","407,487","348,739","309,565","277,206","314,235","261,731","219,297","213,212","241,752","237,096","226,150","214,526","222,841","219,431","259,710","267,109","310,089","310,917","333,056","342,477","338,708","337,547","319,626","319,626","388,313","391,419","409,875","490,274","514,252","494,323","540,732","553,896","533,874","514,154","540,148","574,805","702,432","693,036","708,790","602,245","561,164","563,753","627,414","633,507","707,323",,"85,314","218,455","348,739","219,431","391,419","693,036"
,Total Debt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Worth,,"86,962","96,108","93,388","95,851","88,673","85,314","91,262","104,958","109,864","116,274","121,624","139,089","125,425","122,103","115,315","119,799","128,478","130,746","140,842","139,347","134,414","148,885","148,561","145,435","152,967","151,469","153,906","153,768","181,555","218,455","255,438","267,639","304,531","314,270","249,324","270,987","289,358","329,903","321,400","390,238","407,487","348,739","309,565","277,206","314,235","261,731","219,297","213,212","241,752","237,096","226,150","214,526","222,841","219,431","259,710","267,109","310,089","310,917","333,056","342,477","338,708","337,547","319,626","319,626","388,313","391,419","409,875","490,274","514,252","494,323","540,732","553,896","533,874","514,154","540,148","574,805","702,432","693,036","708,790","602,245","561,164","563,753","627,414","633,507","707,323",,"85,314","218,455","348,739","219,431","391,419","693,036"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NW YTD %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,20%,25%,21%,32%,35%,30%,25%,32%,40%,71%,69%,2%,-13%,-19%,-19%,-9%,-9%,2%,,,,,,,
,NW YoY,,,,,,,,,,,,,,44%,27%,23%,25%,45%,53%,54%,33%,22%,28%,22%,5%,22%,24%,33%,28%,41%,67%,81%,92%,127%,111%,68%,86%,89%,118%,109%,154%,124%,60%,21%,4%,3%,-17%,-12%,-21%,-16%,-28%,-30%,-45%,-45%,-37%,-16%,-4%,-1%,19%,52%,61%,40%,42%,41%,49%,74%,78%,58%,84%,66%,59%,62%,62%,58%,52%,69%,80%,81%,77%,73%,23%,9%,14%,16%,14%,32%,,,156%,60%,-37%,78%,77%
,Crypto % NW,,,,,,,17%,13%,13%,14%,16%,25%,30%,22%,22%,15%,16%,16%,15%,18%,18%,15%,17%,19%,18%,21%,22%,20%,25%,28%,36%,40%,44%,52%,49%,41%,37%,40%,44%,45%,48%,45%,46%,30%,33%,33%,34%,27%,32%,34%,31%,31%,34%,27%,26%,30%,30%,31%,33%,29%,29%,28%,26%,28%,28%,36%,34%,33%,39%,42%,39%,40%,35%,38%,35%,35%,38%,46%,47%,48%,41%,39%,40%,42%,37%,41%,,17%,36%,46%,26%,34%,47%